Nr Etime Raw dBm dBmW/m2 sum:dBmW/m2 loop X Y Z 
50 7.60950994492 -105.51361084 -103.081085205 -65.5210876465 -113.534401063 1 5305328.22554 -1375057.56524 3156495.94379 
51 7.766726017 -103.805213928 -101.372688293 -63.8126907349 -112.21667039 2 5305328.22554 -1375057.56524 3156495.94379 
52 7.92080497742 -104.972930908 -102.540405273 -64.9804077148 -112.194143394 3 5305328.2251 -1375057.56513 3156495.94405 
53 8.10385489464 -105.388389587 -102.955863953 -65.395866394 -112.121060586 1 5305328.2251 -1375057.56513 3156495.94405 
54 8.25904083252 -95.1674194336 -92.7348937988 -55.1748962402 -107.439945567 2 5305328.27971 -1375057.57929 3156495.91132 
55 8.41190886497 -95.0302658081 -92.5977401733 -55.0377426147 -101.73515434 3 5305328.27971 -1375057.57929 3156495.91132 
56 8.56815886497 -104.556930542 -102.124404907 -64.5644073486 -101.202692571 1 5305328.23454 -1375057.56758 3156495.93839 
57 8.7489669323 -105.154312134 -102.721786499 -65.1617889404 -106.975579205 2 5305328.32482 -1375057.59098 3156495.8843 
58 8.88873386383 -104.568580627 -102.136054993 -64.5760574341 -112.181498599 3 5305328.32482 -1375057.59098 3156495.8843 
59 9.04182100296 -105.075965881 -102.643440247 -65.083442688 -112.481022594 1 5305328.10341 -1375057.53359 3156496.01697 
60 9.19303297997 -105.349937439 -102.917411804 -65.3574142456 -112.594463908 2 5305328.10341 -1375057.53359 3156496.01697 
61 9.37992691994 -103.386772156 -100.954246521 -63.3942489624 -111.920851098 3 5305328.16564 -1375057.54972 3156495.97968 
62 9.53105902672 -104.460388184 -102.027862549 -64.4678649902 -111.564008599 1 5305328.16564 -1375057.54972 3156495.97968 
63 9.69046401978 -104.630355835 -102.1978302 -64.6378326416 -111.143986911 2 5305328.20935 -1375057.56105 3156495.95349 
64 9.83924889565 -105.200439453 -102.767913818 -65.2079162598 -112.188356651 3 5305328.20935 -1375057.56105 3156495.95349 
65 10.0283110142 -103.850456238 -101.417930603 -63.8579330444 -111.838979628 1 5305328.22554 -1375057.56524 3156495.94379 
66 10.1748819351 -105.629951477 -103.197425842 -65.6374282837 -112.419659968 2 5305328.22554 -1375057.56524 3156495.94379 
67 10.331610918 -104.676368713 -102.243843079 -64.68384552 -112.11649065 3 5305328.38852 -1375057.60749 3156495.84613 
68 10.4829659462 -90.6352081299 -88.2026824951 -50.6426849365 -105.15204896 1 5305328.45602 -1375057.62498 3156495.80568 
69 10.6706178188 -97.0377120972 -94.6051864624 -57.0451889038 -100.014173925 2 5305328.45602 -1375057.62498 3156495.80568 
70 10.8082919121 -95.399230957 -92.9667053223 -55.4067077637 -94.2801059602 3 5305328.53964 -1375057.64666 3156495.75558 
71 10.9659700394 -90.1505584717 -87.7180328369 -50.1580352783 -94.0206644587 1 5305328.53964 -1375057.64666 3156495.75558 
72 11.1187489033 -96.9574584961 -94.5249328613 -56.9649353027 -93.9719938186 2 5305328.48686 -1375057.63298 3156495.78721 
73 11.30169487 -94.1136627197 -91.681137085 -54.1211395264 -93.2197945753 3 5305328.48686 -1375057.63298 3156495.78721 
74 11.4461388588 -104.168685913 -101.736160278 -64.1761627197 -101.452853381 1 5305328.17516 -1375057.55219 3156495.97397 
75 11.5898628235 -105.34072876 -102.908203125 -65.3482055664 -106.386397513 2 5305328.17516 -1375057.55219 3156495.97397 
76 11.7481548786 -95.6160430908 -93.1835174561 -55.6235198975 -107.158498487 3 5305328.37139 -1375057.60305 3156495.8564 
77 11.9294910431 -91.2518157959 -88.8192901611 -51.2592926025 -99.9593868261 1 5305328.37139 -1375057.60305 3156495.8564 
78 12.0638458729 -97.6964416504 -95.2639160156 -57.703918457 -95.1379695452 2 5305328.13182 -1375057.54095 3156495.99995 
79 12.2128558159 -94.8213729858 -92.3888473511 -54.8288497925 -94.6755515061 3 5305328.72828 -1375057.69555 3156495.64255 
80 12.3710429668 -90.0862121582 -87.6536865234 -50.0936889648 -94.0495754853 1 5305328.72828 -1375057.69555 3156495.64255 
81 12.5251560211 -97.2222747803 -94.7897491455 -57.2297515869 -93.7593990508 2 5305328.39416 -1375057.60895 3156495.84275 
82 12.6856198311 -94.7285919189 -92.2960662842 -54.7360687256 -93.7051725378 3 5305328.39416 -1375057.60895 3156495.84275 
83 12.8307209015 -90.5185699463 -88.0860443115 -50.5260467529 -93.9370165947 1 5305328.3837 -1375057.60624 3156495.84902 
84 12.9847319126 -96.4423217773 -94.0097961426 -56.449798584 -93.4638881076 2 5305328.3837 -1375057.60624 3156495.84902 
85 13.1666970253 -94.9279937744 -92.4954681396 -54.9354705811 -93.5808051291 3 5305328.30629 -1375057.58618 3156495.8954 
86 13.3259279728 -103.456764221 -101.024238586 -63.4642410278 -101.154315664 1 5305328.30629 -1375057.58618 3156495.8954 
87 13.4772059917 -106.141471863 -103.708946228 -66.1489486694 -106.870478745 2 5305328.66178 -1375057.67831 3156495.68239 
88 13.6313779354 -105.768562317 -103.336036682 -65.7760391235 -112.82677263 3 5305328.2535 -1375057.57249 3156495.92703 
89 13.8179419041 -105.095550537 -102.663024902 -65.1030273438 -113.756647727 1 5305328.2535 -1375057.57249 3156495.92703 
90 13.9552948475 -105.365287781 -102.932762146 -65.3727645874 -113.307059983 2 5305328.475 -1375057.6299 3156495.79431 
91 14.1066629887 -105.53653717 -103.104011536 -65.5440139771 -113.172524437 3 5305328.475 -1375057.6299 3156495.79431 
92 14.2580339909 -105.87714386 -103.444618225 -65.8846206665 -113.623938316 1 5305328.50779 -1375057.6384 3156495.77466 
93 14.4445250034 -96.9990997314 -94.5665740967 -57.0065765381 -109.025459307 2 5305328.50779 -1375057.6384 3156495.77466 
94 14.5911579132 -95.7414016724 -93.3088760376 -55.748878479 -103.433410756 3 5305328.41174 -1375057.61351 3156495.83221 
95 14.7491459846 -104.515762329 -102.083236694 -64.5232391357 -102.5716121 1 5305328.41174 -1375057.61351 3156495.83221 
96 14.9072058201 -102.361656189 -99.9291305542 -62.3691329956 -105.646081758 2 5305328.85136 -1375057.72745 3156495.56879 
97 15.0927629471 -95.0851593018 -92.652633667 -55.0926361084 -105.301261591 3 5305328.85136 -1375057.72745 3156495.56879 
98 15.2255840302 -91.1210784912 -88.6885528564 -51.1285552979 -97.6690148964 1 5305328.43128 -1375057.61857 3156495.82051 
99 15.377614975 -98.3434066772 -95.9108810425 -58.3508834839 -95.1533148323 2 5305328.4526 -1375057.6241 3156495.80773 
100 15.5358579159 -94.1699523926 -91.7374267578 -54.1774291992 -94.6263631597 3 5305328.4526 -1375057.6241 3156495.80773 
